loan_id,credit_score,credit_score_band,ltv,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,original_balance,interest_rate,term_months,origination_month,vintage
L000236,681,680-739,60.1,61-80,23.2,21-35,CA,refinance,owner,sfr,393472,8.25,360,2023-03-01,2023
L000237,635,620-679,68.5,61-80,15.8,<=20,NY,refinance,owner,sfr,130938,3.5,360,2023-12-01,2023
L000238,805,740+,70.1,61-80,18.0,<=20,WA,refinance,owner,condo,388542,4.0,360,2023-07-01,2023
L000239,703,680-739,51.8,<=60,35.2,36-43,NY,purchase,owner,sfr,347658,7.0,360,2023-09-01,2023
L000240,816,740+,86.1,81-100,21.3,21-35,GA,refinance,owner,sfr,412679,3.75,180,2023-07-01,2023
L000241,738,680-739,80.5,81-100,29.8,21-35,CA,refinance,owner,sfr,285220,4.25,360,2023-11-01,2023
L000242,818,740+,79.8,61-80,37.5,36-43,TX,refinance,owner,sfr,218628,3.25,240,2023-04-01,2023
L000243,791,740+,70.3,61-80,35.9,36-43,TX,purchase,owner,condo,114077,4.75,180,2023-01-01,2023
L000244,758,740+,85.1,81-100,39.0,36-43,TX,refinance,second_home,sfr,173553,5.5,360,2023-09-01,2023
L000245,665,620-679,86.5,81-100,20.8,21-35,IL,cash_out,owner,sfr,340538,4.75,360,2023-10-01,2023
L000246,766,740+,89.4,81-100,38.3,36-43,WA,purchase,owner,condo,413302,6.0,360,2023-10-01,2023
L000247,656,620-679,69.4,61-80,38.6,36-43,IL,refinance,owner,sfr,203086,7.0,360,2023-10-01,2023
L000248,786,740+,77.2,61-80,41.0,36-43,CA,purchase,second_home,condo,342055,6.0,360,2023-01-01,2023
L000249,655,620-679,66.2,61-80,39.9,36-43,WA,purchase,investor,sfr,143270,5.0,240,2023-09-01,2023
L000250,598,<620,67.2,61-80,21.0,21-35,CA,refinance,owner,sfr,307556,7.25,360,2023-09-01,2023
L000251,608,<620,86.7,81-100,10.5,<=20,CA,purchase,owner,sfr,132824,5.5,180,2023-12-01,2023
L000252,689,680-739,72.8,61-80,35.7,36-43,CA,purchase,investor,condo,214676,6.0,360,2023-05-01,2023
L000253,739,680-739,69.7,61-80,46.8,44-50,WA,purchase,owner,condo,449372,6.0,360,2023-12-01,2023
L000254,649,620-679,81.0,81-100,25.5,21-35,IL,refinance,investor,sfr,484649,8.5,360,2023-07-01,2023
L000255,776,740+,82.0,81-100,25.4,21-35,CA,refinance,owner,condo,531645,6.75,360,2023-11-01,2023
L000256,641,620-679,60.7,61-80,34.0,21-35,WA,refinance,owner,townhouse,364331,7.25,240,2023-06-01,2023
L000257,693,680-739,62.3,61-80,42.2,36-43,GA,purchase,investor,condo,157971,7.75,360,2023-05-01,2023
L000258,660,620-679,82.7,81-100,39.1,36-43,WA,purchase,investor,sfr,568398,5.25,360,2023-09-01,2023
L000259,713,680-739,79.9,61-80,21.8,21-35,NY,purchase,second_home,sfr,483872,5.0,240,2023-03-01,2023
L000260,625,620-679,68.9,61-80,28.6,21-35,FL,cash_out,owner,sfr,219469,6.75,360,2023-07-01,2023
L000261,810,740+,89.9,81-100,27.4,21-35,WA,purchase,owner,sfr,455111,6.5,240,2023-06-01,2023
L000262,802,740+,70.5,61-80,37.6,36-43,CA,purchase,owner,sfr,90342,6.0,360,2023-10-01,2023
L000263,747,740+,43.0,<=60,39.3,36-43,TX,refinance,investor,sfr,394098,6.0,360,2023-01-01,2023
L000264,707,680-739,60.1,61-80,24.6,21-35,FL,refinance,owner,sfr,90840,7.75,240,2023-11-01,2023
L000265,758,740+,49.9,<=60,25.2,21-35,CA,refinance,owner,sfr,392469,6.25,180,2023-08-01,2023
L000266,692,680-739,89.2,81-100,35.1,36-43,IL,refinance,owner,sfr,337363,6.25,240,2023-09-01,2023
L000267,793,740+,79.6,61-80,30.5,21-35,NY,purchase,owner,sfr,483236,4.75,360,2023-04-01,2023
L000268,595,<620,73.8,61-80,25.6,21-35,NY,cash_out,owner,sfr,134864,8.0,240,2023-03-01,2023
L000269,631,620-679,37.2,<=60,28.4,21-35,GA,purchase,investor,sfr,202220,5.5,360,2023-01-01,2023
L000270,689,680-739,49.8,<=60,37.9,36-43,NY,purchase,owner,sfr,439232,7.0,360,2023-12-01,2023
L000271,736,680-739,69.7,61-80,29.3,21-35,GA,refinance,owner,townhouse,242136,6.5,180,2023-12-01,2023
L000272,749,740+,45.3,<=60,31.4,21-35,WA,refinance,owner,sfr,138275,6.0,240,2023-02-01,2023
L000273,752,740+,86.1,81-100,25.6,21-35,WA,purchase,owner,sfr,363502,7.0,360,2023-06-01,2023
L000274,805,740+,70.5,61-80,37.9,36-43,IL,cash_out,owner,sfr,649620,7.25,180,2023-11-01,2023
L000275,782,740+,69.9,61-80,27.9,21-35,IL,purchase,owner,sfr,486156,4.25,360,2023-11-01,2023
L000276,799,740+,71.0,61-80,34.9,21-35,FL,refinance,owner,sfr,313906,6.0,360,2023-07-01,2023
L000277,662,620-679,57.7,<=60,34.1,21-35,WA,purchase,owner,sfr,213067,5.5,360,2023-07-01,2023
L000278,746,740+,56.4,<=60,29.0,21-35,TX,purchase,owner,condo,137148,6.25,240,2023-02-01,2023
L000279,745,740+,43.5,<=60,25.0,21-35,CA,purchase,owner,sfr,195138,5.25,360,2023-05-01,2023
L000280,725,680-739,72.4,61-80,31.8,21-35,FL,refinance,owner,sfr,214574,5.25,360,2023-03-01,2023
L000281,725,680-739,78.1,61-80,29.8,21-35,FL,purchase,owner,sfr,369805,5.5,360,2023-03-01,2023
L000282,706,680-739,68.4,61-80,41.7,36-43,NY,refinance,owner,sfr,157377,6.75,240,2023-03-01,2023
L000283,678,620-679,67.8,61-80,24.9,21-35,CA,refinance,owner,townhouse,303159,6.5,360,2023-09-01,2023
L000284,612,<620,57.9,<=60,39.4,36-43,GA,refinance,second_home,sfr,86958,6.5,240,2023-02-01,2023
L000285,604,<620,75.8,61-80,43.4,44-50,GA,purchase,owner,condo,632779,8.25,360,2023-03-01,2023
L000286,580,<620,35.2,<=60,38.5,36-43,WA,purchase,investor,sfr,418373,8.5,360,2023-04-01,2023
L000287,664,620-679,55.4,<=60,39.3,36-43,NY,purchase,owner,condo,352270,6.5,360,2023-12-01,2023
L000288,669,620-679,62.1,61-80,30.3,21-35,TX,cash_out,owner,sfr,253548,4.5,360,2023-06-01,2023
L000289,811,740+,64.4,61-80,36.7,36-43,NY,purchase,owner,condo,498267,2.5,240,2023-11-01,2023
L000290,638,620-679,75.3,61-80,36.8,36-43,CA,refinance,owner,sfr,308382,6.25,360,2023-07-01,2023
L000291,631,620-679,69.1,61-80,18.2,<=20,FL,purchase,owner,sfr,134483,7.25,240,2023-07-01,2023
L000292,590,<620,74.3,61-80,29.8,21-35,TX,purchase,owner,townhouse,109601,5.5,360,2023-03-01,2023
L000293,607,<620,90.7,81-100,21.8,21-35,WA,purchase,owner,condo,244751,8.25,360,2023-09-01,2023
L000294,737,680-739,92.6,81-100,16.0,<=20,TX,refinance,owner,condo,176302,4.75,240,2023-12-01,2023
L000295,668,620-679,81.7,81-100,32.6,21-35,NY,purchase,owner,sfr,646163,8.0,360,2023-03-01,2023
L000296,728,680-739,90.7,81-100,36.7,36-43,GA,cash_out,owner,sfr,268399,7.25,240,2023-02-01,2023
L000297,604,<620,97.9,81-100,26.8,21-35,CA,cash_out,owner,sfr,530583,7.75,360,2023-06-01,2023
L000298,763,740+,77.6,61-80,37.5,36-43,TX,purchase,owner,sfr,306425,4.5,360,2023-12-01,2023
L000299,644,620-679,51.0,<=60,38.0,36-43,TX,refinance,owner,sfr,547714,8.5,360,2023-09-01,2023
L000300,594,<620,87.1,81-100,33.7,21-35,CA,purchase,owner,sfr,493850,6.75,360,2023-12-01,2023
L000301,799,740+,57.1,<=60,28.4,21-35,IL,purchase,owner,townhouse,155257,5.0,360,2023-04-01,2023
L000302,666,620-679,99.9,81-100,38.9,36-43,TX,refinance,owner,sfr,270066,6.25,360,2023-07-01,2023
L000303,656,620-679,97.9,81-100,48.8,44-50,IL,purchase,owner,sfr,539583,4.75,360,2023-05-01,2023
L000304,591,<620,64.2,61-80,14.5,<=20,GA,refinance,owner,sfr,620289,7.75,360,2023-08-01,2023
L000305,720,680-739,55.5,<=60,39.5,36-43,GA,refinance,owner,sfr,319863,7.25,360,2023-12-01,2023
L000306,647,620-679,61.7,61-80,22.5,21-35,FL,cash_out,owner,sfr,246585,7.5,360,2023-10-01,2023
L000307,637,620-679,71.0,61-80,40.5,36-43,TX,purchase,investor,sfr,104733,6.25,360,2023-06-01,2023
L000308,742,740+,91.2,81-100,41.9,36-43,WA,cash_out,owner,sfr,341446,5.0,360,2023-02-01,2023
L000309,740,740+,53.5,<=60,29.3,21-35,CA,refinance,second_home,sfr,302225,5.0,240,2023-02-01,2023
L000310,615,<620,85.2,81-100,29.1,21-35,IL,refinance,owner,condo,629833,8.5,360,2023-05-01,2023
L000311,610,<620,41.0,<=60,32.8,21-35,NY,refinance,owner,townhouse,469012,8.0,360,2023-05-01,2023
L000312,638,620-679,90.2,81-100,34.1,21-35,WA,refinance,owner,sfr,313336,6.25,360,2023-11-01,2023
L000313,769,740+,71.1,61-80,31.2,21-35,CA,purchase,owner,sfr,327268,4.75,360,2023-03-01,2023
L000314,643,620-679,75.0,61-80,43.2,44-50,FL,purchase,owner,condo,245347,5.0,360,2023-01-01,2023
L000315,681,680-739,70.4,61-80,18.9,<=20,IL,purchase,owner,sfr,395833,5.75,360,2023-01-01,2023
L000316,610,<620,86.0,81-100,28.5,21-35,FL,purchase,owner,condo,544671,6.0,360,2023-11-01,2023
L000317,624,620-679,77.6,61-80,38.9,36-43,GA,purchase,investor,townhouse,620682,8.25,360,2023-12-01,2023
L000318,739,680-739,97.3,81-100,30.4,21-35,WA,purchase,owner,sfr,302302,3.75,240,2023-03-01,2023
L000319,761,740+,45.4,<=60,30.8,21-35,FL,refinance,investor,townhouse,135798,5.5,360,2023-05-01,2023
L000320,787,740+,58.4,<=60,30.3,21-35,FL,purchase,owner,sfr,594865,7.25,360,2023-04-01,2023
L000321,713,680-739,51.8,<=60,41.6,36-43,CA,refinance,owner,sfr,387748,6.0,360,2023-06-01,2023
L000322,646,620-679,82.8,81-100,39.2,36-43,GA,purchase,owner,sfr,139712,6.0,360,2023-01-01,2023
L000323,685,680-739,46.7,<=60,21.1,21-35,WA,purchase,owner,condo,193061,4.0,360,2023-01-01,2023
L000324,617,<620,108.5,100+,22.8,21-35,TX,purchase,owner,sfr,158036,7.75,180,2023-05-01,2023
L000325,637,620-679,73.4,61-80,29.3,21-35,WA,cash_out,owner,sfr,499979,6.25,240,2023-05-01,2023
L000326,695,680-739,90.3,81-100,31.8,21-35,FL,refinance,owner,condo,270402,5.25,360,2023-01-01,2023
L000327,767,740+,57.5,<=60,41.2,36-43,FL,cash_out,owner,sfr,294756,6.5,180,2023-02-01,2023
L000328,642,620-679,74.9,61-80,31.9,21-35,TX,purchase,second_home,condo,424127,6.5,360,2023-10-01,2023
L000329,667,620-679,81.4,81-100,44.9,44-50,GA,purchase,owner,sfr,557822,4.5,180,2023-01-01,2023
L000330,589,<620,61.4,61-80,49.8,44-50,WA,refinance,owner,sfr,523685,7.5,360,2023-02-01,2023
L000331,590,<620,68.6,61-80,25.2,21-35,TX,purchase,owner,sfr,397036,8.0,360,2023-07-01,2023
L000332,711,680-739,95.4,81-100,34.5,21-35,FL,purchase,owner,condo,364809,5.25,360,2023-10-01,2023
L000333,811,740+,91.0,81-100,42.3,36-43,GA,purchase,investor,condo,406406,7.25,240,2023-11-01,2023
L000334,718,680-739,80.7,81-100,35.1,36-43,TX,purchase,owner,sfr,533617,4.5,360,2023-06-01,2023
L000335,587,<620,101.6,100+,36.1,36-43,CA,purchase,owner,sfr,620698,9.5,360,2023-04-01,2023
L000336,717,680-739,42.8,<=60,28.9,21-35,WA,cash_out,owner,sfr,306009,5.5,360,2023-09-01,2023
L000337,608,<620,76.4,61-80,28.1,21-35,IL,refinance,investor,sfr,506574,9.25,240,2023-07-01,2023
L000338,746,740+,66.3,61-80,34.9,21-35,WA,cash_out,owner,sfr,131869,6.0,240,2023-03-01,2023
L000339,691,680-739,93.4,81-100,42.0,36-43,TX,refinance,owner,sfr,195290,6.0,240,2023-06-01,2023
L000340,667,620-679,88.6,81-100,23.6,21-35,NY,purchase,owner,sfr,324337,5.25,360,2023-06-01,2023
L000341,629,620-679,89.5,81-100,31.8,21-35,NY,cash_out,second_home,sfr,585518,6.0,180,2023-08-01,2023
L000342,622,620-679,63.0,61-80,49.3,44-50,WA,refinance,owner,sfr,213065,5.0,360,2023-04-01,2023
L000343,660,620-679,80.4,81-100,31.3,21-35,IL,cash_out,owner,condo,235651,5.5,360,2023-12-01,2023
L000344,688,680-739,88.2,81-100,34.6,21-35,NY,refinance,owner,sfr,124049,7.75,240,2023-10-01,2023
L000345,716,680-739,91.5,81-100,40.3,36-43,GA,purchase,owner,condo,353971,5.0,360,2023-02-01,2023
L000346,745,740+,58.1,<=60,38.3,36-43,WA,cash_out,owner,townhouse,357332,7.25,360,2023-04-01,2023
L000347,809,740+,61.8,61-80,31.7,21-35,NY,purchase,owner,condo,220297,5.0,180,2023-08-01,2023
L000348,587,<620,75.7,61-80,31.1,21-35,GA,purchase,owner,sfr,164135,7.0,240,2023-10-01,2023
L000349,804,740+,92.9,81-100,46.8,44-50,NY,purchase,investor,townhouse,276052,5.25,360,2023-11-01,2023
L000350,714,680-739,81.3,81-100,24.6,21-35,TX,purchase,owner,sfr,419415,5.0,240,2023-07-01,2023
L000351,597,<620,92.6,81-100,20.9,21-35,TX,refinance,investor,condo,183826,8.0,240,2023-08-01,2023
L000352,788,740+,42.7,<=60,43.1,44-50,WA,refinance,second_home,condo,610018,4.75,240,2023-04-01,2023
L000353,784,740+,67.9,61-80,44.5,44-50,FL,refinance,owner,townhouse,465469,4.5,360,2023-04-01,2023
L000354,649,620-679,79.5,61-80,24.5,21-35,IL,cash_out,owner,sfr,632878,8.0,360,2023-04-01,2023
L000355,620,620-679,76.0,61-80,41.1,36-43,NY,refinance,owner,sfr,648207,6.0,180,2023-01-01,2023
L000356,652,620-679,43.6,<=60,36.5,36-43,GA,cash_out,investor,sfr,232815,5.0,360,2023-08-01,2023
L000357,774,740+,88.5,81-100,32.2,21-35,FL,cash_out,investor,condo,529332,4.75,360,2023-07-01,2023
L000358,800,740+,77.2,61-80,34.2,21-35,IL,refinance,owner,sfr,580463,6.0,360,2023-05-01,2023
L000359,651,620-679,65.0,61-80,49.9,44-50,NY,purchase,investor,sfr,211519,6.0,240,2023-07-01,2023
L000360,694,680-739,90.0,81-100,40.0,36-43,WA,purchase,owner,sfr,375382,6.5,360,2023-08-01,2023
L000361,752,740+,46.1,<=60,38.6,36-43,WA,purchase,owner,sfr,421951,6.5,180,2023-05-01,2023
L000362,623,620-679,64.3,61-80,38.1,36-43,FL,refinance,owner,townhouse,353726,7.75,360,2023-06-01,2023
L000363,752,740+,85.3,81-100,28.0,21-35,CA,cash_out,owner,sfr,368861,7.5,360,2023-05-01,2023
L000364,634,620-679,77.6,61-80,30.5,21-35,NY,refinance,owner,condo,119106,8.0,180,2023-12-01,2023
L000365,784,740+,68.6,61-80,32.1,21-35,NY,refinance,owner,sfr,197539,5.75,360,2023-01-01,2023
L000366,612,<620,69.7,61-80,25.5,21-35,GA,cash_out,investor,sfr,306571,6.0,360,2023-04-01,2023
L000367,815,740+,68.5,61-80,38.2,36-43,CA,refinance,owner,condo,481673,5.0,180,2023-05-01,2023
L000368,752,740+,85.0,81-100,43.8,44-50,FL,purchase,investor,townhouse,322922,4.25,360,2023-11-01,2023
L000369,646,620-679,67.4,61-80,32.5,21-35,CA,refinance,owner,townhouse,589536,5.75,240,2023-07-01,2023
L000370,773,740+,82.2,81-100,26.0,21-35,NY,refinance,owner,sfr,618002,6.5,360,2023-01-01,2023
L000371,730,680-739,40.7,<=60,26.3,21-35,TX,cash_out,owner,sfr,120591,6.0,240,2023-12-01,2023
L000372,694,680-739,90.4,81-100,47.8,44-50,FL,refinance,owner,townhouse,268823,5.5,360,2023-05-01,2023
L000373,757,740+,108.6,100+,28.1,21-35,WA,purchase,owner,condo,507947,5.75,360,2023-11-01,2023
L000374,745,740+,79.5,61-80,22.4,21-35,CA,cash_out,owner,townhouse,559014,4.5,360,2023-04-01,2023
L000375,599,<620,70.7,61-80,20.0,21-35,GA,refinance,owner,sfr,311801,8.0,360,2023-05-01,2023
L000376,635,620-679,64.0,61-80,29.1,21-35,GA,purchase,owner,condo,198694,6.5,360,2023-11-01,2023
L000377,739,680-739,82.5,81-100,44.3,44-50,CA,refinance,owner,townhouse,264343,8.0,180,2023-11-01,2023
L000378,677,620-679,62.2,61-80,44.7,44-50,IL,purchase,owner,sfr,98451,5.0,240,2023-01-01,2023
L000379,657,620-679,59.7,<=60,38.7,36-43,GA,purchase,owner,sfr,646597,5.25,240,2023-06-01,2023
L000380,710,680-739,40.1,<=60,26.8,21-35,WA,refinance,owner,sfr,196943,5.25,360,2023-06-01,2023
L000381,618,<620,75.6,61-80,40.8,36-43,CA,refinance,owner,sfr,251518,7.0,240,2023-04-01,2023
L000382,815,740+,67.6,61-80,31.7,21-35,CA,purchase,owner,sfr,637465,5.25,240,2023-07-01,2023
L000383,711,680-739,68.5,61-80,38.9,36-43,NY,purchase,owner,sfr,378165,5.75,360,2023-06-01,2023
L000384,581,<620,72.0,61-80,53.1,44-50,CA,refinance,owner,sfr,413092,8.25,180,2023-06-01,2023
L000385,690,680-739,61.4,61-80,31.4,21-35,FL,refinance,owner,sfr,434944,6.75,240,2023-05-01,2023
L000386,758,740+,74.8,61-80,21.2,21-35,CA,purchase,owner,sfr,425628,4.0,360,2023-04-01,2023
L000387,718,680-739,55.8,<=60,50.7,44-50,GA,purchase,owner,sfr,548669,5.75,360,2023-04-01,2023
L000388,702,680-739,70.3,61-80,32.1,21-35,FL,refinance,owner,sfr,300545,4.25,180,2023-11-01,2023
L000389,734,680-739,67.8,61-80,31.9,21-35,NY,cash_out,owner,sfr,289579,7.75,360,2023-10-01,2023
L000390,586,<620,46.4,<=60,18.8,<=20,TX,refinance,owner,townhouse,363220,6.0,360,2023-05-01,2023
L000391,699,680-739,53.8,<=60,40.3,36-43,GA,refinance,owner,sfr,531588,6.5,360,2023-07-01,2023
L000392,676,620-679,63.1,61-80,43.1,44-50,NY,purchase,owner,townhouse,105677,5.75,360,2023-07-01,2023
L000393,797,740+,63.6,61-80,35.9,36-43,GA,purchase,owner,condo,205453,4.75,360,2023-12-01,2023
L000394,720,680-739,75.9,61-80,43.5,44-50,WA,purchase,owner,townhouse,149295,3.75,180,2023-01-01,2023
L000395,622,620-679,65.9,61-80,30.1,21-35,WA,purchase,owner,sfr,632126,6.25,360,2023-08-01,2023
L000396,784,740+,71.2,61-80,45.8,44-50,GA,refinance,owner,condo,277491,5.0,240,2023-07-01,2023
L000397,649,620-679,65.9,61-80,40.7,36-43,IL,refinance,owner,sfr,370964,6.75,360,2023-12-01,2023
L000398,819,740+,33.1,<=60,49.6,44-50,TX,refinance,owner,sfr,323928,6.5,180,2023-09-01,2023
L000399,665,620-679,70.1,61-80,18.7,<=20,IL,refinance,owner,sfr,170647,8.0,360,2023-07-01,2023
L000400,783,740+,59.4,<=60,22.5,21-35,NY,purchase,owner,condo,175642,8.5,360,2023-04-01,2023
L000401,765,740+,69.6,61-80,41.7,36-43,FL,purchase,owner,sfr,649309,3.25,180,2023-07-01,2023
L000402,753,740+,60.5,61-80,37.1,36-43,NY,refinance,owner,condo,638461,8.25,180,2023-11-01,2023
L000403,736,680-739,81.8,81-100,25.5,21-35,NY,cash_out,investor,condo,534714,6.25,360,2023-12-01,2023
L000404,585,<620,71.3,61-80,34.6,21-35,CA,purchase,owner,condo,278780,7.75,240,2023-03-01,2023
L000405,629,620-679,82.6,81-100,42.2,36-43,CA,purchase,owner,sfr,426755,6.25,240,2023-11-01,2023
L000406,789,740+,83.7,81-100,44.1,44-50,TX,refinance,owner,townhouse,116618,5.25,240,2023-01-01,2023
L000407,758,740+,63.5,61-80,36.2,36-43,GA,purchase,owner,sfr,469378,6.25,180,2023-04-01,2023
L000408,690,680-739,84.2,81-100,34.7,21-35,GA,purchase,owner,sfr,168349,6.75,360,2023-12-01,2023
L000409,765,740+,75.4,61-80,38.1,36-43,CA,cash_out,owner,condo,505034,4.5,360,2023-05-01,2023
L000410,737,680-739,56.1,<=60,33.5,21-35,WA,purchase,second_home,sfr,617253,4.75,360,2023-12-01,2023
L000411,764,740+,70.3,61-80,51.1,44-50,CA,refinance,owner,sfr,127488,4.5,240,2023-10-01,2023
L000412,707,680-739,73.4,61-80,30.0,21-35,GA,purchase,owner,sfr,114589,5.25,360,2023-06-01,2023
L000413,598,<620,91.0,81-100,34.0,21-35,FL,cash_out,investor,sfr,568114,5.5,360,2023-07-01,2023
L000414,677,620-679,66.8,61-80,32.2,21-35,GA,cash_out,owner,condo,570726,5.25,360,2023-09-01,2023
L000415,630,620-679,95.6,81-100,47.9,44-50,NY,refinance,owner,sfr,106834,8.0,360,2023-01-01,2023
L000416,787,740+,83.5,81-100,29.1,21-35,GA,cash_out,owner,sfr,230584,6.25,240,2023-03-01,2023
L000417,794,740+,40.3,<=60,41.8,36-43,WA,cash_out,owner,sfr,104556,4.75,360,2023-12-01,2023
L000418,628,620-679,56.5,<=60,33.4,21-35,CA,refinance,owner,townhouse,576480,5.75,360,2023-05-01,2023
L000419,791,740+,80.8,81-100,29.8,21-35,IL,refinance,owner,sfr,82418,3.5,240,2023-07-01,2023
L000420,659,620-679,50.2,<=60,15.1,<=20,WA,cash_out,owner,sfr,268025,6.25,180,2023-07-01,2023
L000421,629,620-679,79.1,61-80,33.3,21-35,NY,refinance,owner,sfr,643421,4.25,360,2023-03-01,2023
L000422,645,620-679,92.7,81-100,48.9,44-50,TX,refinance,owner,sfr,569462,7.25,180,2023-05-01,2023
L000423,712,680-739,68.0,61-80,27.5,21-35,WA,refinance,investor,condo,150549,6.0,240,2023-09-01,2023
L000424,637,620-679,93.1,81-100,8.0,<=20,TX,refinance,owner,sfr,342504,5.5,240,2023-01-01,2023
L000425,643,620-679,91.9,81-100,36.4,36-43,WA,purchase,owner,sfr,225178,4.75,180,2023-10-01,2023
L000426,747,740+,71.2,61-80,22.9,21-35,TX,purchase,owner,townhouse,82862,4.75,360,2023-09-01,2023
L000427,679,620-679,71.5,61-80,17.7,<=20,NY,purchase,owner,condo,325586,7.5,360,2023-05-01,2023
L000428,747,740+,74.7,61-80,28.9,21-35,TX,purchase,owner,sfr,412588,6.5,240,2023-01-01,2023
L000429,585,<620,78.7,61-80,21.5,21-35,FL,purchase,investor,sfr,385057,7.0,360,2023-09-01,2023
L000430,603,<620,48.6,<=60,43.0,36-43,CA,refinance,owner,condo,201531,7.25,360,2023-10-01,2023
L000431,647,620-679,69.8,61-80,35.4,36-43,FL,refinance,owner,sfr,523423,6.75,360,2023-04-01,2023
L000432,666,620-679,46.9,<=60,39.0,36-43,TX,refinance,second_home,townhouse,600937,7.0,180,2023-09-01,2023
L000433,644,620-679,66.8,61-80,27.7,21-35,WA,refinance,owner,townhouse,478925,4.75,360,2023-10-01,2023
L000434,674,620-679,68.7,61-80,32.5,21-35,WA,purchase,owner,sfr,301317,6.5,360,2023-09-01,2023
L000435,800,740+,44.7,<=60,28.3,21-35,IL,refinance,investor,sfr,529421,5.0,360,2023-06-01,2023
L000436,690,680-739,53.0,<=60,35.6,36-43,GA,purchase,owner,sfr,643226,6.5,360,2023-04-01,2023
L000437,721,680-739,66.0,61-80,13.0,<=20,TX,purchase,owner,sfr,601609,5.25,360,2023-04-01,2023
L000438,769,740+,104.4,100+,32.8,21-35,GA,purchase,second_home,sfr,83987,5.25,360,2023-12-01,2023
L000439,622,620-679,51.2,<=60,42.3,36-43,NY,cash_out,owner,sfr,177420,7.0,360,2023-01-01,2023
L000440,614,<620,73.9,61-80,48.4,44-50,CA,refinance,owner,condo,328930,7.5,360,2023-12-01,2023
L000441,682,680-739,58.6,<=60,40.5,36-43,IL,purchase,owner,sfr,580810,5.25,240,2023-05-01,2023
L000442,729,680-739,66.4,61-80,34.3,21-35,TX,cash_out,owner,sfr,280656,6.5,180,2023-08-01,2023
L000443,698,680-739,86.8,81-100,17.7,<=20,FL,purchase,owner,sfr,341948,5.75,360,2023-01-01,2023
L000444,608,<620,76.7,61-80,34.4,21-35,CA,purchase,owner,condo,164033,5.75,360,2023-01-01,2023
L000445,732,680-739,78.4,61-80,15.3,<=20,IL,refinance,owner,sfr,409705,6.0,240,2023-05-01,2023
L000446,801,740+,79.3,61-80,24.9,21-35,TX,refinance,second_home,sfr,467604,4.5,360,2023-05-01,2023
L000447,707,680-739,80.6,81-100,31.1,21-35,WA,purchase,investor,condo,108597,4.75,360,2023-07-01,2023
L000448,795,740+,39.6,<=60,30.5,21-35,CA,refinance,owner,condo,404489,7.25,360,2023-08-01,2023
L000449,681,680-739,77.8,61-80,40.9,36-43,CA,refinance,owner,sfr,317195,6.75,360,2023-09-01,2023
L000450,676,620-679,70.7,61-80,30.4,21-35,IL,cash_out,owner,condo,517292,5.0,360,2023-07-01,2023
L000451,654,620-679,78.0,61-80,21.6,21-35,IL,refinance,owner,condo,561760,7.5,360,2023-05-01,2023
L000452,704,680-739,84.5,81-100,28.5,21-35,IL,purchase,owner,sfr,309775,6.25,360,2023-08-01,2023
L000453,717,680-739,78.2,61-80,26.1,21-35,WA,purchase,owner,sfr,305481,6.5,360,2023-08-01,2023
L000454,605,<620,82.4,81-100,42.7,36-43,CA,purchase,owner,sfr,345224,7.0,240,2023-08-01,2023
L000455,814,740+,54.4,<=60,19.7,<=20,NY,purchase,investor,sfr,348086,3.75,180,2023-06-01,2023
L000456,616,<620,78.7,61-80,28.5,21-35,NY,purchase,owner,sfr,624036,5.0,240,2023-05-01,2023
L000457,712,680-739,70.4,61-80,41.1,36-43,NY,purchase,owner,sfr,633139,6.0,360,2023-10-01,2023
L000458,654,620-679,70.7,61-80,25.2,21-35,CA,refinance,owner,sfr,473770,4.75,360,2023-04-01,2023
L000459,792,740+,91.5,81-100,36.3,36-43,FL,cash_out,owner,sfr,612098,4.75,360,2023-08-01,2023
L000460,734,680-739,64.7,61-80,33.1,21-35,GA,cash_out,owner,condo,212223,3.75,360,2023-07-01,2023
L000461,583,<620,62.0,61-80,29.8,21-35,NY,purchase,owner,condo,119181,6.25,360,2023-06-01,2023
L000462,586,<620,52.3,<=60,17.1,<=20,NY,purchase,investor,condo,501106,7.0,180,2023-06-01,2023
L000463,628,620-679,67.6,61-80,33.2,21-35,GA,purchase,owner,sfr,282367,6.25,180,2023-08-01,2023
L000464,776,740+,88.1,81-100,28.2,21-35,WA,cash_out,second_home,sfr,636330,6.0,180,2023-06-01,2023
L000465,787,740+,47.0,<=60,35.4,36-43,GA,refinance,second_home,sfr,147919,5.5,240,2023-04-01,2023
L000466,712,680-739,75.8,61-80,19.8,<=20,IL,refinance,owner,sfr,244793,6.5,360,2023-03-01,2023
L000467,716,680-739,34.0,<=60,37.6,36-43,IL,cash_out,owner,sfr,148032,6.25,360,2023-11-01,2023
L000468,735,680-739,61.6,61-80,38.8,36-43,WA,purchase,owner,sfr,313331,6.5,360,2023-11-01,2023
L000469,697,680-739,78.6,61-80,45.5,44-50,IL,refinance,investor,sfr,156866,5.5,240,2023-11-01,2023
L000470,702,680-739,63.9,61-80,28.5,21-35,GA,purchase,owner,sfr,206980,7.0,180,2023-02-01,2023
L000471,668,620-679,54.0,<=60,26.6,21-35,GA,cash_out,owner,sfr,541432,6.25,240,2023-03-01,2023
L000472,697,680-739,66.5,61-80,41.0,36-43,GA,refinance,second_home,sfr,424786,6.25,360,2023-03-01,2023
