loan_id,reporting_month,origination_month,month_index,loan_age_months,remaining_term_months,original_balance,current_balance,interest_rate,credit_score,ltv,servicer_name,current_status,days_past_due,document_status,last_updated_at,source_system,next_3m_delinquency_flag,next_6m_delinquency_flag,next_12m_default_flag,next_12m_prepayment_flag,next_state,exception_type,exception_required,credit_score_band,ltv_band,dti,dti_band,state,loan_purpose,occupancy_type,property_type,term_months,vintage,credit_score_numeric,ltv_numeric,dti_numeric,balance_ratio,term_ratio,dpd_velocity,ever_dpd,paydown_rate,vintage_year,next_3m_delinquency_prob,next_6m_delinquency_prob,next_12m_default_prob,next_12m_prepayment_prob,next_state_confidence,exception_type_confidence,anomaly_score,anomaly_reason,anomaly_drivers,data_quality_score,model_confidence,data_confidence,confidence,n_breaches,recommended_action,top_drivers
L000341,2025-03-01,2023-08-01,19,19,161,585518,558265.53,6.0,636,85.3,Atlas,Prepaid,0,complete,2025-03-03,core,,,,,prepaid,none,0.1377303593634174,620-679,81-100,31.8,21-35,NY,cash_out,second_home,sfr,180,2023,636,85.3,31.8,0.9534557946980281,0.8944444444444445,0.0,0,-0.04119822365054253,2023,0.05472698784209918,0.037093278524147726,0.08565834887861527,0.14710885535797413,0.4758,0.4774,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'current_balance']}",58.7,0.838,0.587,0.763,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000532,2025-04-01,2023-11-01,17,17,223,588329,500187.34,5.75,751,67.7,Cedar,Current,30,complete,2025-04-18,core,,,,,current,none,0.14995199299957046,740+,61-80,37.4,36-43,NY,cash_out,investor,sfr,240,2023,751,67.7,37.4,0.8501830438411162,0.9291666666666667,30.0,1,0.08652938802658805,2023,0.09928576018983686,0.10240103834013724,0.009759370177064063,0.479416689430133,0.3662,0.4492,0.8239,dpd_status_break; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['dpd_status_break', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['days_past_due', 'original_balance']}",58.7,0.655,0.587,0.635,4,escalate_human_review,dpd_status_break; outlier_remaining_term_months; outlier_paydown_rate
L000839,2025-03-01,2023-09-01,18,18,162,252607,245631.58,3.75,724,71.7,Atlas,Prepaid,0,complete,2025-03-02,core,,,,,prepaid,none,0.289872863459616,680-739,61-80,27.5,21-35,FL,purchase,owner,condo,180,2023,724,71.7,27.5,0.9723862759147608,0.9,0.0,0,-0.1410878213873406,2023,0.04494111904939197,0.19432004979252135,0.03930946439747083,0.08351191923587416,0.6802,0.4834,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",58.7,0.819,0.587,0.749,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000063,2025-06-01,2023-05-01,25,25,155,472669,464845.24,4.5,791,59.2,Cedar,Prepaid,0,complete,2025-06-05,core,,,,,prepaid,none,0.07972310451103402,740+,61-80,46.7,44-50,NY,purchase,second_home,sfr,180,2023,791,59.2,46.7,0.9834476980720123,0.8611111111111112,0.0,0,0.05581992484708691,2023,0.024821541240682827,0.019221022132900403,0.007021198883639262,0.5282363656280337,0.4832,0.5276,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",58.7,0.739,0.587,0.693,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000839,2025-02-01,2023-09-01,17,17,163,252607,215260.89,3.75,716,71.7,Atlas,Prepaid,0,complete,2025-02-16,core,,,,,prepaid,none,0.36040612626790164,680-739,61-80,27.5,21-35,FL,purchase,owner,condo,180,2023,716,71.7,27.5,0.8521572640504816,0.9055555555555556,0.0,0,0.12364326280847103,2023,0.028682710256880323,0.22585895625501315,0.07249178477274562,0.08083541394610119,0.5637,0.3267,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",58.7,0.796,0.587,0.733,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000811,2025-02-01,2023-11-01,15,15,165,405272,380389.94,7.5,750,74.0,Beacon,Prepaid,0,complete,2025-02-10,core,,,,,prepaid,none,0.5162399646774302,680-739,61-80,15.4,<=20,IL,refinance,owner,townhouse,180,2023,750,74.0,15.4,0.9386040486389388,0.9166666666666666,0.0,0,1.0,2023,0.04642767794714925,0.30158099192919785,0.029843634796108225,0.14078091722454675,0.5013,0.3182,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",58.7,0.741,0.587,0.695,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000242,2025-02-01,2023-04-01,22,22,218,218628,212250.24,3.25,824,77.5,Cedar,Prepaid,0,complete,2025-02-06,core,,,,,prepaid,none,0.05706373188112989,740+,61-80,37.5,36-43,TX,refinance,owner,sfr,240,2023,824,77.5,37.5,0.9708282562160382,0.9083333333333333,0.0,0,-0.03012764444023382,2023,0.04933295745102841,0.07401025121004258,0.06088723877240044,0.43206160542670263,0.6674,0.6438,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['interest_rate', 'remaining_term_months']}",58.7,0.692,0.587,0.66,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000080,2025-03-01,2023-01-01,26,26,154,142108,126677.51,6.75,685,77.6,Cedar,Prepaid,0,complete,2025-03-02,core,,,,,prepaid,none,0.38743174623440546,620-679,81-100,45.3,44-50,GA,refinance,owner,sfr,180,2023,685,77.6,45.3,0.8914171615954063,0.8555555555555555,0.0,0,1.0,2023,0.02719340289935122,0.04328138607912398,0.019454989303159923,0.44742060499535374,0.5649,0.4051,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",58.7,0.731,0.587,0.688,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000027,2025-04-01,2023-03-01,25,25,155,594172,586499.05,4.0,749,66.9,Cedar,Prepaid,0,complete,2025-04-11,core,,,,,prepaid,none,0.06364859593432878,740+,61-80,32.4,21-35,TX,refinance,investor,condo,180,2023,749,66.9,32.4,0.9870863150737498,0.8611111111111112,0.0,0,0.04540903011642542,2023,0.029209407311844394,0.021858135028668967,0.005319988251838332,0.7713417626345803,0.7017,0.5697,0.8239,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate,"{'rule_breaches': ['prepaid_positive_balance', 'outlier_remaining_term_months', 'outlier_paydown_rate'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",58.7,0.857,0.587,0.776,4,escalate_human_review,prepaid_positive_balance; outlier_remaining_term_months; outlier_paydown_rate
L000699,2025-02-01,2023-01-01,25,25,155,350424,282981.21,4.5,766,62.2,Beacon,Current,0,complete,2025-02-05,core,,,,,current,source_conflict,0.3992393515646266,740+,61-80,25.4,21-35,FL,refinance,owner,sfr,180,2023,766,62.2,25.4,0.807539466474899,0.8611111111111112,0.0,0,0.06890669687426028,2023,0.024211447511166533,0.02590484896649047,0.0022210946246008093,0.10272604552741021,0.6236,0.3477,0.8179,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict,"{'rule_breaches': ['outlier_remaining_term_months', 'outlier_paydown_rate', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'interest_rate']}",60.7,0.922,0.607,0.827,4,escalate_human_review,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict
L000980,2025-03-01,2023-01-01,26,26,214,256359,244967.53,7.5,597,49.2,Beacon,Default,120,complete,2025-03-19,core,,,,,default,source_conflict,0.7560925522169114,<620,<=60,33.7,21-35,IL,purchase,second_home,condo,240,2023,597,49.2,33.7,0.9555643843204257,0.8916666666666667,0.0,1,0.06552934270120024,2023,0.34933201193846636,0.6917162182674695,0.7199365272303219,0.03673502621619524,0.3691,0.4984,0.8179,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict,"{'rule_breaches': ['outlier_remaining_term_months', 'outlier_paydown_rate', 'balance_source_conflict'], 'deviating_features': ['days_past_due', 'remaining_term_months']}",60.7,0.513,0.607,0.541,4,escalate_human_review,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict
L000699,2025-04-01,2023-01-01,27,27,153,350424,295610.97,4.5,761,61.2,Beacon,Current,0,complete,2025-04-04,core,,,,,current,none,0.40731425835319063,740+,61-80,25.4,21-35,FL,refinance,owner,sfr,180,2023,761,61.2,25.4,0.8435808335045544,0.85,0.0,0,-0.04463109052364272,2023,0.01929722060865988,0.011449826031631222,0.002160343652185982,0.15323738235957193,0.5918,0.3741,0.8179,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict,"{'rule_breaches': ['outlier_remaining_term_months', 'outlier_paydown_rate', 'balance_source_conflict'], 'deviating_features': ['remaining_term_months', 'loan_age_months']}",60.7,0.907,0.607,0.817,4,escalate_human_review,outlier_remaining_term_months; outlier_paydown_rate; balance_source_conflict
L001125,2025-02-01,2023-10-01,16,16,344,281960,313887.43,6.75,631,49.5,Beacon,Default,120,complete,2025-02-18,core,,,,,default,none,0.1774862927521651,620-679,<=60,40.6,36-43,GA,purchase,owner,sfr,360,2023,631,49.5,40.6,1.1132338984253085,0.9555555555555556,0.0,1,-0.14450703772397397,2023,0.09456538290539984,0.09286239139471064,0.050844537091782625,0.06967321063349088,0.6026,0.6352,0.8119,balance_exceeds_original; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['balance_exceeds_original', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['days_past_due', 'loan_age_months']}",62.7,0.846,0.627,0.78,4,escalate_human_review,balance_exceeds_original; outlier_balance_ratio; outlier_paydown_rate
L000722,2025-05-01,2023-02-01,27,27,213,474720,365670.9,9.25,652,52.1,Cedar,Current,0,complete,2025-05-20,core,,,,,current,none,0.09837025246722092,620-679,<=60,24.0,21-35,WA,cash_out,owner,condo,240,2023,652,52.1,24.0,0.770287537917088,0.8875,0.0,0,0.12943691584068087,2023,0.01966082720248612,0.04064725913307409,0.005718904255576404,0.3627689869480946,0.6354,0.4,0.8119,outlier_remaining_term_months; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['outlier_remaining_term_months', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['interest_rate', 'loan_age_months']}",62.7,0.786,0.627,0.738,4,escalate_human_review,outlier_remaining_term_months; outlier_balance_ratio; outlier_paydown_rate
L000851,2025-04-01,2023-06-01,22,22,338,572311,626249.14,8.75,622,67.4,Atlas,Default,120,complete,2025-04-03,core,,,,,default,none,0.06203852526597738,620-679,61-80,43.8,44-50,TX,refinance,owner,townhouse,360,2023,622,67.4,43.8,1.0942462052974693,0.9388888888888889,0.0,1,-0.1431833603094553,2023,0.18982875944714964,0.24859758263802223,0.5100980599001537,0.24409761930463003,0.4866,0.5931,0.8119,balance_exceeds_original; outlier_balance_ratio; outlier_paydown_rate,"{'rule_breaches': ['balance_exceeds_original', 'outlier_balance_ratio', 'outlier_paydown_rate'], 'deviating_features': ['days_past_due', 'interest_rate']}",62.7,0.414,0.627,0.478,4,escalate_human_review,balance_exceeds_original; outlier_balance_ratio; outlier_paydown_rate
L000956,2025-02-01,2023-09-01,17,17,223,105984,97790.04,4.0,801,53.6,Cedar,Current,-10,complete,2025-02-20,core,,,,,current,none,0.4866523822771856,740+,<=60,53.9,44-50,IL,purchase,owner,condo,240,2023,801,53.6,53.9,0.9226868206521739,0.9291666666666667,-10.0,1,0.009203692500478472,2023,0.05071420562032878,0.1541057302618765,0.024591813466557772,0.5068916960656713,0.4247,0.3722,0.8089,dpd_impossible; outlier_remaining_term_months; status_source_conflict,"{'rule_breaches': ['dpd_impossible', 'outlier_remaining_term_months', 'status_source_conflict'], 'deviating_features': ['days_past_due', 'interest_rate']}",63.7,0.639,0.637,0.638,3,escalate_human_review,dpd_impossible; outlier_remaining_term_months; status_source_conflict
